Id,Zipcode,Geography,Estimate; Total:,Estimate; Total: - White alone,Estimate; Total: - Black or African American alone,Estimate; Total: - American Indian and Alaska Native alone,Estimate; Total: - Asian alone,Estimate; Total: - Native Hawaiian and Other Pacific Islander alone,Estimate; Total: - Some other race alone
8600000US21824,21824,ZCTA5 21824,122,122,0,0,0,0,0
8600000US21826,21826,ZCTA5 21826,5250,3430,1269,0,363,0,0
8600000US21829,21829,ZCTA5 21829,839,808,31,0,0,0,0
8600000US21830,21830,ZCTA5 21830,3576,2798,640,0,40,0,0
8600000US21835,21835,ZCTA5 21835,765,586,108,0,0,0,71
8600000US21837,21837,ZCTA5 21837,2784,2154,571,0,2,0,0
8600000US21838,21838,ZCTA5 21838,1659,1178,463,0,0,0,0
8600000US21840,21840,ZCTA5 21840,571,373,198,0,0,0,0
8600000US21841,21841,ZCTA5 21841,1073,995,69,0,0,0,0
8600000US21842,21842,ZCTA5 21842,11319,10792,233,11,40,0,40
8600000US21849,21849,ZCTA5 21849,3769,3163,399,0,0,0,0
8600000US21850,21850,ZCTA5 21850,2631,2563,18,3,18,0,0
8600000US21851,21851,ZCTA5 21851,7657,4385,2781,9,344,0,45
8600000US21853,21853,ZCTA5 21853,10847,4415,5704,0,183,6,49
8600000US21856,21856,ZCTA5 21856,892,701,181,0,0,0,0
8600000US21861,21861,ZCTA5 21861,1003,917,10,0,37,0,0
8600000US21862,21862,ZCTA5 21862,506,506,0,0,0,0,0
8600000US21863,21863,ZCTA5 21863,5270,3790,1379,0,16,0,0
8600000US21864,21864,ZCTA5 21864,899,666,233,0,0,0,0
8600000US21865,21865,ZCTA5 21865,404,225,179,0,0,0,0
8600000US21866,21866,ZCTA5 21866,54,54,0,0,0,0,0
8600000US21867,21867,ZCTA5 21867,41,41,0,0,0,0,0
8600000US21869,21869,ZCTA5 21869,785,567,199,0,0,0,0
8600000US21871,21871,ZCTA5 21871,3140,1697,1388,4,25,0,0
8600000US21872,21872,ZCTA5 21872,605,554,0,0,0,0,0
8600000US21874,21874,ZCTA5 21874,2447,2261,96,5,14,0,0
8600000US21875,21875,ZCTA5 21875,6483,4921,1181,0,167,0,47
8600000US21890,21890,ZCTA5 21890,2692,715,1795,43,34,0,78
8600000US21901,21901,ZCTA5 21901,18253,16139,1615,87,239,20,18
8600000US21902,21902,ZCTA5 21902,214,115,91,0,3,0,0
8600000US21903,21903,ZCTA5 21903,6061,5037,524,12,131,0,150
